ddt.unwedding.txt: 离婚
worldKint.invite.roomDes: 邀请您参加本届全球荣耀争霸赛团体赛!
tank.auctionHouse.view.AuctionBuyView.price:  竞拍价:
ddt.consortia.event.quite: {0} {1}开除公会成员{2}！
buried.alertInfo.ligthStoneOver.text2: 注：宝石商店内道具购买即为绑定.
tank.game.BuffTip49: 战斗中{0}增加{1}点
ddt.quest.collectInfo.notUsualMailAddress: 不是常见的邮件地址
escort.arrive.tipTxt: 护送成功
worldKint.registerState.msg: 未报名无法进入比赛房间!
tank.auctionHouse.view.AuctionBuyView.less:  小于起拍价与增值之和:
BrowseLeftMenuView.xuanwu: 玄武石
buried.alertInfo.BuriedShopFrame.text: 玄兽宝石
worldKint.pet.hasEquipSkill: 已装备此宠物技能
common.church.ChurchDialogueRejectPropose.contentText.text: 			拒绝了你的求婚。
并送你一个好人礼包，请在邮箱中查收
tank.view.common.gameLevel: 游戏难度：
ddt.consortia.event.join: {0} {1}招收新成员{2}！
ddt.kingBlessFrame.titleTxt: 弹王盟约
BrowseLeftMenuView.qinglong: 青龙石
buried.alertInfo.buyTips: 玄兽宝石不足.
common.church.ChurchDialogueRejectPropose.creatWeddingTxt: 您创建了普通婚礼或豪华婚礼
worldking.rankMainFrame.ranklbl: 个人排名:,团体排名:
oldPlayer.login.promptTxt2: 邀请入会
ddt.consortia.event.quit: {0} {1}退出公会
tank.manager.ItemManager.gift:  礼品
BrowseLeftMenuView.baihu: 白虎石
ddt.quest.collectInfo.validMailAddress: 邮件地址有效
church.main.WeddingRoomCreateView.SelectedIconButtonTxt1.text: 修改密码
worldking.rankMainFrame.pointlbl: 个人积分:,团体积分:
tank.petSystem.Star4: 四星
ddt.consortia.event.skill: {0} {1}开启了公会技能{2}！
BrowseLeftMenuView.xiangliansp: 项链碎片
ddt.roomList.roomListBG.full: 所有模式
church.main.WeddingRoomCreateView.SelectedIconButtonTxt2.text: 允许宾客邀请好友
ddt.consortia.title: 公会战役
ddt.pets.revert: 还原
ddt.consortia.norank: 无排名
tank.auctionHouse.view.AuctionCellView.Object:  物品已过期
BrowseLeftMenuView.wuqisp: 武器碎片
ddt.view.bossbox.AwardsView.TheNextTimeText: 请保持在线至{0}，您将获得以下奖励：
church.room.WeddingRoomContinuationView.title: 礼堂续费
worldking.teamMemeberData.loadError: 荣耀弹王队友数据加载失败!
ddt.consortiaBattle.inTimerView.promptTxt: 剩余战斗时间
BrowseLeftMenuView.fuwuqisp: 副武器碎片
shop.view.ShopRankingView.shopSearchText: 输入物品名称
worldking.matchRankMainFrame.title: 个人赛榜单,团体赛榜单
church.room.WeddingRoomContinuationView.infoTxt: 该婚礼不能续费
tank.data.EquipType.skinFantasyBox: 武器皮肤盒
ddt.roomList.roomListBG.Athletics: 竞技模式
ddt.consortiaBattle.doubleScoreBtn.tipTxt: 购买双倍积分可在本场公会争霸战中获得2倍积分
church.churchScene.WeddingMainScene: 结婚主场景
BrowseLeftMenuView.freakCard: 怪物卡
shop.view.ShopRankingView.PleaseEnterTheKeywords: 请输入关键字
ddt.buffinfo.labyrinthBuffhelp: 点击查看秘境药水
church.main.WeddingUnmarryView.firstDisvorce:     第一次离婚
tank.manager.PlayerManager.isInvent.msg: 你成功加入<{0}>公会
tank.petSystem.Star5: 五星
ddt.consortiaBattle.hideTip.sameTxt: 隐藏同公会角色
BrowseLeftMenuView.equipCard: 武器卡
im.imView.giftBtnTip: 礼品盒
church.main.WeddingUnmarryView.text1.text: 对方已离线：
tank.data.EquipType.skinFantasy: 武器皮肤
ddt.consortiaBattle.hideTip.tombTxt: 隐藏角色墓碑
tank.auctionHouse.view.AuctionCellView.Sale:  物品已绑定,不能拍卖
choosecharacter.ChooseCharacterView.check_txt: 可输入中英文或数字，长度不超过14个字符
ddt.giftSystem.openGiftBtn.text: 等级达到16级即可开启礼品盒
skinFantasy.noHaveSkinMsg: 你尚未获得此皮肤或武器形态
church.main.WeddingUnmarryView.text2.text: 离婚将扣除：      点券
tank.skinFantasy.revertMsg: 还原后将取消所有幻化效果，确认继续？
ddt.consortiaBattle.hideTip.fightingTxt: 隐藏交战中的角色
choosecharacter.ChooseCharacterView.setCheckTxt: 恭喜!角色名可以使用.
ddt.giftSystem.openCardBtn.text: 等级达到15级即可开启卡牌系统
church.ChurchProposeFrame.bgTitleText.text: 请输入真情告白
tank.skinFantasy.weaponStrengthenLevel1: （形态一）
ddt.roomList.roomListBG.challenge: 挑战模式
ddt.consortiaBattle.scoreView.selfScoreTxt: 我的积分：
choosecharacter.LoadCheckName.m: 检测失败！
tank.view.bagII.GoodsTipPanel.PetTxt1: 宠物蛋
tank.manager.PlayerManager.consortiaShop: 您将公会商城升级到{0}级
ddt.giftSystem.openCardBox.text: 卡牌系统未开启
church.churchScene.frame.ModifyDiscriptionFrame.spare: 剩余
tank.pets.talentError: 宠物天赋模板加载失败!
tank.skinFantasy.weaponStrengthenLevel2: （形态二）
ddt.game.consortiaBattle.txt: 公会战
ddt.giftSystem.openBeadBtn.text: 等级达到{0}级即可开启宝珠系统
church.churchScene.frame.PresentFrame.confirm: 该操作将扣除
tank.skinFantasy.weaponStrengthenLevel3: （形态三）
ddt.consortiaBattle.chatPrompt.threeWinningStreakTxt: {0}几乎不用瞄准就击败了3个对手，轻松拿下了3连胜！
ddt.texpSystem.openTexpBtn.text: 等级达到{0}级即可开启修炼系统
church.churchScene.menu.MenuPanel.menuClick: 婚礼进行中，请稍后
tank.skinFantasy.weaponStrengthenLevel4: （形态四）
tank.bible.remainTxt1: 无
ddt.consortiaBattle.chatPrompt.sixWinningStreakTxt: {0}弹无虚发连胜6场，已经接近暴走了！
ddt.petSystem.openPetBtn.text: 等级达到13级即可开启修炼系统
church.churchScene.SceneControler.timerComplete: 您的房间将在10分钟后关闭，请注意。
tank.skinFantasy.weaponStrengthenLevel5: （形态五）
tank.view.common.BellowStripViewII.downLoadClient: 点击下载登录器到桌面
ddt.consortiaBattle.chatPrompt.tenWinningStreakTxt: {0}越战越勇连胜10场，已经超神了！
tank.manager.PlayerManager.consortiaShop2: 你所在的公会商城升级到{0}级
ddt.totemSystem.openTotemBtn.text: 等级达到{0}级即可开启弹王图腾系统
tank.view.bagII.GoodsTipPanel.PetTxt2: 宠物装备
church.churchScene.SceneControler.timerComplete.msg: 您的房间将在10分钟后关闭，请注意。
tank.skinFantasy.onUseskinFantasyMsg: 确定幻化后，有时效的装扮将开始倒计时！
tank.pets.talentSkillError: 宠物天赋模板加载失败!
ddt.consortiaBattle.chatPrompt.terminatorTxt: {0}慌乱出手不小心命中对手要害，终止了{1}的{2}连胜！
ddt.avatarCollSystem.openAvatarCollBtn.text: 等级达到{0}级即可开启图鉴系统
church.churchScene.SceneControler.startWedding.valid: 礼堂剩余时间不足10分钟，无法举行婚礼
tank.game.petSkillTips: 当前不能使用该技能
escort.timeEnd.tipTxt: 护送失败
ddt.consortiaBattle.buyPowerFull.promptTxt: 确认消耗100点券购买战斗激怒？
shop.view.madelLack: 勋章不足
ddt.magicStoneSystem.openMagicStoneBtn.text: {0}级开启（{0}级前获得的魔石会存储在魔石背包中）
church.churchScene.SceneControler.startWedding.spouse: 你的情侣不在场，不能开始典礼
tank.birthday.roomlist.createRoomName: {0}的生日会
ddt.consortiaBattle.buyDoubleScore.promptTxt: 确认消耗1000点券购买双倍积分？
ddt.godTemple.openGodTempleBtn.text: {0}级开启
church.churchScene.SceneControler.startWedding.isStarted: 再次举行婚礼需扣除{0}点券，是否继续？
tank.birthday.roomlist.existRoom: 你已创建房间
ddt.view.academyCommon.academyRequest.state: 对方不在线,请稍后再试
ddt.consortiaBattle.buyResurrect.promptTxt: 立即复活需要消耗50点券，是否立即复活？
tank.manager.PlayerManager.consortiaStore: 您将公会铁匠铺升级到{0}级
ddt.userGuild.boxTip: 还剩{0}小时{1}分钟开启
tank.view.bagII.GoodsTipPanel.PetTxt3: 玄兽宝石
church.churchScene.SceneControler.startWedding.Money: 点券少于{0}，不能赠送
tank.hall.new.setButtonNumMax: 自定义按钮数量已达到最大数量！
tank.pets.breakError: 宠物突破模板加载失败！
ddt.consortiaBattle.buyStayResurrect.promptTxt: 原地复活需要消耗80点券，是否原地复活？
tank.view.changeColor.ChangeColorLeftView.wing: 装饰
church.churchScene.SceneMask.chatMsg.msg: 婚礼倒计时 
tank.hall.new.setButtonNum: 你已选择：{0}/4
ddt.pets.feed: 喂养
ddt.consortiaBattle.buyConfirm.noAlertTxt: 本次登录不再提示
ddt.cardSystem.cardCollectView.title: 卡牌收藏册
church.churchScene.SceneMask.click: 仪式进行中，无法移动
tank.hall.new.changeBtn: 切换菜单
ddt.consortiaBattle.buy.noEnoughMoneyTxt: 点券不足
ddt.cardSystem.cardProp.unknown: 属性未知
church.churchScene.SceneUI.switchVisibleFireList: 烟花资源正在加载中！请稍候
ddt.condiscount.view.time: 活动时间：{0}-{1}
IMControl.addNullFriend: 请输入名称
ddt.consortiaBattle.buy.noEnoughBindMoneyTxt: 绑定点券不足
tank.manager.PlayerManager.consortiaStore2: 你所在的公会铁匠铺升级到{0}级
ddt.cardSystem.preview.propExplain: 套卡属性说明:
ddt.game.view.damageView.titleText: 上一回合伤害列表
church.churchScene.SceneView.stopWeddingMovie: 典礼现在结束
ddt.condiscount.item.normalPrice: 原价：{0}
tank.pets.skillUpdateError: 宠物技能升级模板加载失败！
ddt.consortiaBattle.openPromptTxt: 公会争霸战开始了，勇士们，为荣耀而战吧！
ddt.cardSystem.preview.setProp1: 任意装备
church.churchScene.MoonLightScene: 月光场景
ddt.condiscount.item.discountPrice: 折后：{0}
tank.command.fightLibCommands.script.MeasureScree.watchAgain: 再看一遍
ddt.consortiaBattle.closePromptTxt: 公会争霸战活动结束了！
tank.manager.PlayerManager.consortiaSmith: 您将公会保管箱升级到{0}级
carnival.awardGiftBuyTxt: 确认消耗{0}点券，购买一个礼包
ddt.condiscount.item.buyalart: 你确定花费{0}点券购买礼包？
ddt.cardSystem.preview.setProp2: 张该套卡牌可生成:
tank.manager.PlayerManager.consortiaSkill: 您将公会技能升级到{0}级
ddt.consortiaBattle.leavePromptTxt: 离开战场将取消连胜记录并在60秒后才能进入，确定返回吗？
shop.view.petStoneLack: 玄兽宝石不足
ddt.cardSystem.upgradeFrame.ownCardNum: <FONT COLOR='#06f906' >{0}</FONT> 
tank.manager.PlayerManager.consortiaSmith2: 你所在的公会保管箱升级到{0}级
calendar.view.ActiveState.StartNot: 活动尚未开始
ddt.condiscount.item.buyalart.band: 你确定花费{0}绑定点券购买礼包？
ddt.consortiaBattle.cannotEnterTxt: 您所在的公会本周没有获得参赛资格，请继续努力！
tank.pets.breakAddProError: 宠物技能升级模板加载失败！
ddt.cardSystem.upgradeFrame.rule: 卡牌升到<FONT COLOR='#00ff96' >{0}</FONT>级<br>每消耗<FONT COLOR='#00ff96' >{1}</FONT>张卡牌<br>增加<FONT COLOR='#00ff96' >{2}-{3}</FONT>点成长值
ddt.game.view.damageView.listText: 角色名      造成伤害
tank.manager.PlayerManager.consortiaSkill2: 你所在的公会技能升级到{0}级
ddt.condiscount.view.title: 连续折扣
ddt.consortiaBattle.cannotEnterTxt2: 您还没有加入任何公会
ddt.bagandinfo.ringSystem.infoText3: 每场夫妻战可增加1点情意值
ddt.cardSystem.upgradeFrame.upSuccess: 恭喜！增加{0}点成长值
tank.manager.PlayerManager.IsMarried: 您已存在婚姻关系
ddt.defendisland.frame.title: 保卫弹岛
ddt.consortiaBattle.loadResError: 资源数据异常，请尝试重新进入或切换频道或重新登录或骚扰GM=  =
tank.bible.remainTxt2: 可参与
ddt.cardSystem.upgradeFrame.isMaxLevel: 此卡牌已是最高级，无法升级
tank.manager.PlayerManager.notAllow: 不允许同性求婚
ddt.defendisland.frame.tip: 名字：{0}
进度：{1}/{2}波
奖励：{3}
ddt.consortiaBattle.justWinProtectTxt: 该玩家还未完全退出战斗，请稍后
shop.view.lackCoin: 货币不足,购买失败
ddt.cardSystem.getNewCard.name: 恭喜您获得:{0}
tank.manager.PlayerManager.notOtherLvWoo: 不允许向{0}级以下玩家求婚
calendar.view.ActiveState.OnMark: 活动尚有{0}结束
ddt.defendisland.frame.prizeName: 小试身手礼包|牛刀小试礼包|不堪一击礼包|大材小用礼包|大显身手礼包
ddt.consortiaBattle.changeMoneyCostTxt: 绑定点券不足，是否使用点券？
tank.pets.talent: 宠物天赋
ddt.cardSystem.useCardBox.tweenty: 您还不足20级，不能打开卡牌盒子
ddt.ringstation.titleInfo: 擂台战
tank.manager.PlayerManager.notLvWoo: {0}级以下玩家不允许求婚
ddt.defendisland.frame.npcName: 蚂蚁斥候|波谷前锋|小鸡左将军|邪神右将军|统帅
ddt.dragonBoat.frameTitle: 龙舟
tank.view.caddy.closeNode: 请确认是否将获得物品放入背包!
game.view.propContainer.ItemContainer.energy: 按空格键发炮
tank.manager.PlayerManager.married: 对方已经结婚了
escort.leaveGamePromptTxt: 退出护送场景，护送车将暂停前进。
ddt.game.dice.leaderOnly: 队长才能摇色子
ddt.dragonBoat.timeTxt: 活动时间：{0}年{1}月{2}日-{3}年{4}月{5}日
game.view.arrow.ArrowView.energy: 按空格键传送
tank.manager.PlayerManager.youMarried: 您已存在婚姻关系
ddt.game.dice.leaderName: 队长：{0}
ddt.dragonBoat.progressTxt: 完成度{0}%
shop.view.present: 赠送
ddt.cardSystem.cardEquip.openVice3: 解除3号副卡位封印
tank.manager.PlayerManager.isApplicant: 同意了你的求婚
calendar.view.ActiveState.TimeOut: 活动已经结束
ddt.game.dice.leaderNameNone: 队长：无
ddt.dragonBoat.normalBuildTxt: 普通建造
tank.pets.skill: 宠物技能
ddt.cardSystem.cardEquip.openVice4: 解除4号副卡位封印
ddt.ringstation.helpTitle: 帮助说明
tank.manager.PlayerManager.refuseMarry: 拒绝了你的求婚
ddt.defendisland.frame.time: 活动时间：每周一、三、五   20:00—21:00
ddt.dragonBoat.normalDecorateTxt: 普通装饰
ddt.pets.fight: 出战
ddt.cardSystem.cardEquip.open3: <b>解除封印条件</b>：拥有任意<FONT COLOR='0xff0000' >1</FONT>张<FONT COLOR='0xff0000' >20</FONT>级卡牌
tank.manager.PlayerManager.youAndOtherMarried: 与 {0} 玩家成为夫妻
ddt.defendisland.frame.remainCountNone: 保卫弹岛成功了，不能进行匹配
ddt.dragonBoat.normalPromptTxt: 注入碎片数量
ddt.cardSystem.cardEquip.open4: <b>解除封印条件</b>：拥有任意<FONT COLOR='0xff0000' >3</FONT>张<FONT COLOR='0xff0000' >20</FONT>级卡牌或<FONT COLOR='0xff0000' >1</FONT>张<FONT COLOR='0xff0000' >30</FONT>级卡牌
tank.manager.PlayerManager.divorce: 您已经离婚了
tank.devilTurn.loadGoodsItemError: 加载恶魔转盘物品表失败
ddt.dragonBoat.normalPromptTxt2: 注：1龙舟碎片=10积分
shop.view.friendPay: 支付请求
ddt.cardSystem.cardEquip.congratulate: 恭喜您增加了一个卡牌装备位置！
tank.manager.SocketManager.copyRight: 版本
bagAndInfo.sellFrame.explainTxt: 是否确定要出售 <FONT COLOR='#ff0000'>{0}</FONT> 个
价格:
tank.devilTurn.loadBoxConvertError: 加载恶魔转盘宝箱兑换表失败
ddt.dragonBoat.highBuildTxt: 高级建造
tank.pets.talentTis.Attacks: 攻击
ddt.cardSystem.cardEquip.cannotOpen3: 符合条件卡牌不足，无法开启卡牌位
ddt.ringstation.helpInfo: 1.每天可挑战擂台10次，可购买5次挑
  战机会。
2.不同的名次区间可获得不同的即时奖
  励和周期奖励。
3.宠物不参与擂台战。
4.每三天结算一次排名奖励，结算时间
  为凌晨0点，结算奖励在界面点击按钮
  领取。
tank.view.baglocked.type0: 背包拖动物品图标
tank.devilTurn.loadPointShopError: 加载恶魔转盘积分兑换表失败
ddt.dragonBoat.highDecorateTxt: 高级装饰
tank.command.fightLibCommands.script.MeasureScree.understood: 明白了
ddt.cardSystem.cardEquip.cannotOpen4: 符合条件卡牌不足，无法开启卡牌位
tank.view.baglocked.type1: 服饰背包整理
tank.devilTurn.loadRankAewardError: 加载恶魔转盘排行奖励表失败
ddt.dragonBoat.highPromptTxt1: 您目前拥有          点券。
ddt.cardSystem.upgrade.explain: 卡牌升级说明
tank.view.baglocked.type2: 副本付费翻牌
tank.devilTurn.sacrifice: 购买灵魂石
ddt.dragonBoat.highPromptTxt2: 高级建造次数
tank.ddtauctionHouse.view.bid: 竞 拍
ddt.cardSystem.cardView.explain: 卡牌说明
tank.view.baglocked.type3: 副本续关
bagAndInfo.sellFrame.explainTxtI: 是否确定要出售      个
价格:
tank.devilTurn.freeSacrifice: 免费获取
ddt.dragonBoat.highPromptTxt22: 高级装饰次数
tank.pets.talentTis.Defence: 防御
shop.view.ShopRightView.getSimpleAlert.title: 免费领取
ddt.ringstation.rankInfoText: 我的排名：
tank.view.bagII.baglocked.BagLockedGetFrame.titleText: 解除锁定
